iter	Passed	Remaining
0	150	150568
1	152	75980
2	153	51120
3	155	38697
4	156	31214
5	158	26219
6	159	22657
7	161	19978
8	162	17887
9	163	16226
10	165	14870
11	166	13735
12	168	12764
13	169	11945
14	171	11232
15	172	10594
16	173	10045
17	174	9546
18	176	9105
19	177	8717
20	179	8355
21	180	8031
22	181	7727
23	183	7463
24	185	7218
25	186	6984
26	188	6784
27	189	6582
28	190	6388
29	192	6212
30	193	6049
31	194	5891
32	196	5743
33	197	5607
34	198	5474
35	200	5357
36	201	5244
37	202	5138
38	204	5031
39	205	4932
40	206	4839
41	208	4755
42	209	4668
43	211	4586
44	212	4511
45	214	4438
46	215	4369
47	216	4301
48	218	4238
49	219	4176
50	221	4115
51	222	4062
52	224	4006
53	225	3950
54	226	3894
55	227	3842
56	229	3794
57	230	3746
58	231	3699
59	233	3653
60	234	3609
61	235	3565
62	237	3525
63	238	3488
64	239	3447
65	240	3407
66	242	3370
67	243	3334
68	244	3304
69	246	3271
70	247	3236
71	248	3202
72	249	3170
73	250	3139
74	252	3114
75	253	3085
76	254	3056
77	256	3027
78	257	2999
79	258	2972
80	260	2950
81	261	2928
82	262	2897
83	263	2873
84	264	2851
85	266	2828
86	267	2808
87	268	2786
88	270	2765
89	271	2743
90	272	2722
91	273	2703
92	275	2685
93	276	2667
94	277	2648
95	279	2630
96	280	2612
97	282	2596
98	283	2579
99	284	2563
100	286	2546
101	287	2530
102	289	2516
103	290	2501
104	291	2486
105	292	2469
106	293	2453
107	295	2438
108	296	2425
109	298	2412
110	299	2398
111	300	2384
112	302	2371
113	303	2361
114	305	2351
115	307	2340
116	307	2324
117	309	2312
118	310	2299
119	312	2289
120	313	2278
121	314	2264
122	315	2251
123	317	2241
124	318	2230
125	319	2219
126	321	2207
127	322	2195
128	323	2185
129	324	2174
130	326	2166
131	328	2158
132	329	2148
133	330	2137
134	332	2127
135	333	2118
136	334	2109
137	336	2100
138	337	2090
139	338	2080
140	339	2070
141	340	2059
142	342	2050
143	347	2064
144	348	2056
145	350	2047
146	351	2038
147	352	2029
148	354	2022
149	355	2014
150	357	2007
151	358	2000
152	360	1993
153	361	1985
154	362	1977
155	364	1972
156	366	1966
157	367	1959
158	369	1952
159	370	1945
160	371	1936
161	373	1930
162	375	1925
163	376	1920
164	378	1913
165	379	1908
166	381	1902
167	383	1897
168	384	1889
169	385	1882
170	387	1877
171	389	1872
172	390	1865
173	391	1859
174	392	1851
175	394	1844
176	395	1839
177	396	1832
178	397	1825
179	399	1818
180	400	1812
181	402	1807
182	403	1803
183	405	1797
184	406	1790
185	407	1784
186	409	1780
187	410	1774
188	412	1768
189	413	1762
190	414	1756
191	416	1751
192	417	1747
193	419	1743
194	420	1737
195	422	1731
196	423	1726
197	425	1721
198	426	1716
199	427	1710
200	428	1704
201	430	1699
202	431	1695
203	433	1691
204	434	1686
205	436	1681
206	438	1678
207	440	1675
208	441	1670
209	443	1667
210	444	1663
211	461	1714
212	462	1710
213	464	1705
214	466	1701
215	467	1696
216	468	1692
217	470	1689
218	472	1684
219	473	1679
220	474	1674
221	476	1669
222	478	1666
223	479	1661
224	480	1655
225	481	1650
226	483	1645
227	484	1639
228	485	1636
229	487	1631
230	488	1626
231	489	1621
232	491	1616
233	492	1612
234	494	1608
235	495	1603
236	496	1599
237	498	1594
238	499	1589
239	500	1585
240	502	1581
241	503	1577
242	505	1573
243	506	1569
244	508	1566
245	509	1562
246	510	1557
247	512	1553
248	513	1548
249	515	1546
250	516	1541
251	518	1537
252	519	1533
253	520	1529
254	522	1525
255	523	1521
256	524	1517
257	526	1513
258	527	1508
259	528	1504
260	530	1501
261	531	1498
262	533	1494
263	534	1490
264	535	1485
265	537	1481
266	538	1478
267	540	1475
268	541	1471
269	542	1467
270	544	1463
271	545	1460
272	547	1457
273	548	1453
274	549	1449
275	550	1445
276	552	1442
277	553	1438
278	555	1434
279	556	1430
280	557	1427
281	559	1424
282	561	1422
283	562	1418
284	563	1414
285	565	1411
286	566	1408
287	568	1404
288	569	1401
289	570	1397
290	572	1393
291	573	1390
292	574	1387
293	576	1383
294	577	1379
295	578	1376
296	579	1372
297	581	1369
298	582	1365
299	583	1362
300	585	1359
301	586	1355
302	587	1351
303	589	1349
304	590	1345
305	591	1342
306	593	1338
307	594	1335
308	595	1332
309	597	1329
310	598	1326
311	599	1322
312	601	1319
313	602	1316
314	604	1313
315	605	1310
316	606	1307
317	608	1304
318	609	1300
319	611	1298
320	612	1295
321	613	1292
322	615	1289
323	616	1285
324	617	1283
325	619	1280
326	620	1277
327	621	1274
328	623	1270
329	624	1267
330	625	1264
331	627	1261
332	628	1259
333	629	1255
334	631	1252
335	632	1249
336	633	1247
337	635	1244
338	636	1241
339	638	1238
340	639	1236
341	641	1233
342	642	1230
343	644	1228
344	645	1225
345	647	1222
346	648	1220
347	650	1217
348	651	1214
349	652	1211
350	653	1208
351	654	1205
352	656	1202
353	657	1200
354	658	1197
355	660	1194
356	661	1191
357	663	1189
358	664	1187
359	666	1184
360	667	1181
361	669	1179
362	670	1176
363	671	1173
364	673	1171
365	674	1168
366	675	1165
367	677	1162
368	678	1160
369	679	1157
370	681	1154
371	682	1151
372	683	1149
373	684	1146
374	686	1143
375	687	1141
376	688	1138
377	690	1135
378	691	1132
379	692	1130
380	694	1127
381	695	1125
382	696	1122
383	697	1119
384	699	1116
385	701	1115
386	702	1112
387	703	1110
388	704	1107
389	706	1104
390	707	1102
391	709	1100
392	710	1097
393	711	1095
394	713	1092
395	714	1089
396	715	1087
397	717	1085
398	718	1082
399	719	1079
400	721	1077
401	722	1074
